Priorität;Firma;Kategorie;Ansprechpartner;Telefon;Email;PLZ;Ort;Gesprächsaufhänger;Notiz
A;Tiefbauamt der Stadt Aalen;Kommune;;07361 / 52-1600;tiefbauamt@aalen.de;73430;Aalen;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Oppermann Bau GmbH;Privat (Straßenbau);;05181 / 8060;info@oppermann-bau.de;31061;Alfeld (Leine);Ergänzung für schnelle Kleinreparaturen zwischen Heißasphalt-Einsätzen - ARM Kaltasphalt;Straßen-/Tiefbau, Asphalt, Kanalbau, Pflasterarbeiten
A;Fachbereich Bau und Umwelt / Sachgebiet Tiefbau;Kommune;;03447 / 594-0;info@stadt-altenburg.de;04600;Altenburg;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Tiefbauamt der Stadt Amberg;Kommune;;09621 / 10-1433;Tiefbauamt@Amberg.de;92224;Amberg;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Fulda;Kommune;-;0661 / 102-0;tiefbau@fulda.de;36037;Amt für Stadtplanung und Bauordnung / Tiefbau – Stadt Fulda;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Bremen;Kommune;-;0421 / 361-2443;office@asv.bremen.de;28195;Amt für Straßen und Verkehr Bremen (ASV);Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Köln;Kommune;-;0221 / 221-0;amt66@stadt-koeln.de;50679;Amt für Straßen und Verkehrstechnik Köln;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Bergisch Gladbach;Kommune;-;02202 / 14-0;info@stadt-gl.de;51429;Amt für Straßenbau und Erschließung Bergisch Gladbach;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Mayen;Kommune;-;02651 / 88-0;info@mayen.de;56727;Amt für Tiefbau Mayen;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
A;Hagen;Kommune;-;02331 / 207-0;tiefbau@stadt-hagen.de;58095;Amt für Tiefbau und Grünflächen Hagen;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung
