Priorität;Firma;Kategorie;Ansprechpartner;Telefon;Email;PLZ;Ort;Gesprächsaufhänger;Notiz
A;Aachener Stadtbetrieb, Geschaeftsbereich Gruenflaechen;Kommune;;0241 432-18555;stadtbetrieb@mail.aachen.de;52058;Aachen;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Galabau Salber e.K.;Privat (GaLaBau);;0241 526891;info@galabau-salber.de;52078;Aachen;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Pflasterarbeiten, Wegebau, Natursteinarbeiten, Teichbau
A;Grünflächen- und Umweltamt;Kommune;;07361 52-1328;gruenflaechenamt@aalen.de;73430;Aalen;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Stefan Tripp GmbH & Co. KG;Privat (GaLaBau);;02528 9299560;info@tripp-galabau.de;59227;Ahlen;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;"GaLaBau, Pflaster, Gartengestaltung, Gartenpflege; Einzugsgebiet Münster/Hamm/Warendorf"
A;Kastrati GaLaBau;Privat (GaLaBau);;0160 78 28 928;info@kastrati.info;86450;Altenmünster (Bühlweg 4);Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Pflasterarbeiten, Gartengestaltung, PV-Anlagen-Montage
A;Stadtgärtnerei;Kommune;Norbert Wellnhofer;09621 10427;;92224;Amberg;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Michael Oberbauer GmbH (größter GaLaBau-Betrieb im Lkr. Rosenheim);Privat (GaLaBau);Michael Oberbauer;08075 1085;info@galabau-oberbauer.de;83123;Amerang (Waldweg 3);Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gartengestaltung, Pflasterarbeiten, Natursteinarbeiten, Außenanlagen
A;Amt fuer Stadtentwicklung, Gruenflaechen;Kommune;;02632 922-0;info@andernach.de;56626;Andernach;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Sachgebiet Naturschutz und Landschaftspflege;Kommune;Klaus Gabriel;0981 51-435;;91522;Ansbach;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Amt für Grünordnung, Naturschutz und Friedhofswesen;Kommune;;0821 324-6010;agnf@augsburg.de;86161;Augsburg;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Martins GaLaBau;Privat (GaLaBau);;0176 45919407;galabau.m@web.de;86163;Augsburg;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Außenanlagen, Pflasterarbeiten, Terrassenbau
A;Pöhler Gut Reelsen GaLaBau;Privat (GaLaBau);;05253 6258;info@poehler-galabau.de;33014;Bad Driburg;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;"GaLaBau und Straßenbau, Pflaster, Winterdienst; Einzugsgebiet Paderborn/Höxter"
A;Bätzoldt's Garten- und Landschaftsbau GmbH;Privat (GaLaBau);;034671 729;info@galabau-baetzoldt.de;06567;Bad Frankenhausen (Thüringen);Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Wegebau, Außenanlagen, Landschaftsbau
A;Fachabteilung Tiefbau und Gruenflaechen;Kommune;;0671 800-0;stadtverwaltung@bad-kreuznach.de;55543;Bad Kreuznach;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Wolf Gartenbau;Privat (GaLaBau);;0160 95256896;info@wolf-gartenanlagen.de;76532;Baden-Baden;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gartenbau, Pflasterbau, Terrassenbau, Straßenbau, Mauern und Zäune
A;Galabau Weirauch GmbH und Co. KG;Privat (GaLaBau);;02401 5015;info@galabau-weirauch.de;52499;Baesweiler;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Pflasterarbeiten, Wegebau, Erdarbeiten, Gartenbewaesserung, Zaunbau
A;Badum Garten- und Landschaftsbau GmbH;Privat (GaLaBau);;0951 17055;info@badum-galabau.de;96050;Bamberg;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Grünanlagenpflege, Außenanlagen, Gartengestaltung, seit 1982
A;GaLaBau Friedel – Harald Friedel;Privat (GaLaBau);;0921 1509003;gala-bau-friedel@web.de;95448;Bayreuth;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gartengestaltung, Pflasterarbeiten, Terrassen, Zaunbau
A;Christian Nepustil Garten- und Landschaftsbau GmbH;Privat (GaLaBau);;07123 30473-00;info@nepustil-galabau.de;72658;Bempflingen;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gartengestaltung, Pflasterarbeiten, Wegebau, Gartenpflege
A;Fachbereich Stadtgruen;Kommune;;02202 14-1378;stadtgruen@stadt-gl.de;51469;Bergisch Gladbach;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Lorenz Garten- und Landschaftsbau GmbH und Co. KG;Privat (GaLaBau);Stefan Kokott;02202 2414;info@lorenz-landschaftsbau.de;51469;Bergisch Gladbach;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Pflasterarbeiten, Wegebau, Gruenpflege, Sportanlagen
A;Pankraz GmbH und Co. KG;Privat (GaLaBau);;02202 2515180;info@pankrazgalabau.de;51469;Bergisch Gladbach;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Pflasterarbeiten, Wegebau, Terrassen, Natursteinarbeiten, Gartengestaltung
A;Häntsch & Söhne GmbH;Privat (GaLaBau);Thomas Häntsch;030 844168;info@haentsch-galabau.de;14167;Berlin;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Außenanlagen, Landschaftspflege, seit 1977
A;Martin Rohrbeck Garten- und Landschaftsbau;Privat (GaLaBau);;030 79705663;info@rohrbeck-galabau.de;12247;Berlin;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gartengestaltung, Pflasterarbeiten, Außenanlagen, seit 2004
A;Straßen- und Grünflächenamt Charlottenburg-Wilmersdorf;Kommune;;030 9029-18000;SGA@charlottenburg-wilmersdorf.de;10589;Berlin-Charlottenburg-Wilmersdorf;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Straßen- und Grünflächenamt Friedrichshain-Kreuzberg;Kommune;;030 90298-8053;sga@ba-fk.berlin.de;10216;Berlin-Friedrichshain-Kreuzberg;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Straßen- und Grünflächenamt Lichtenberg;Kommune;;030 90296-6532;sga@lichtenberg.berlin.de;10315;Berlin-Lichtenberg;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung
A;Arkadia Gartengestaltung;Privat (GaLaBau);;030 831-8145;info@arkadia-gartengestaltung.de;10365;Berlin-Lichtenberg;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;Gartengestaltung, Pflege, seit 1983
A;Manfred Binner Garten- u. Landschaftsbau e. K.;Privat (GaLaBau);;030 743-6161;kontakt@binner-galabau.de;12305;Berlin-Lichtenrade;Schnelle Asphalt-Reparatur für Einfahrten, Wege und Terrassen — ARM Kaltasphalt, sofort verarbeitbar;GaLaBau, Meisterbetrieb, seit 1981
