Priorität;Firma;Kategorie;Ansprechpartner;Telefon;Email;PLZ;Ort;Gesprächsaufhänger;Notiz;Quelle
A;Fachbereich Bau und Umwelt / Sachgebiet Tiefbau;Kommune;;03447 / 594-0;info@stadt-altenburg.de;04600;Altenburg;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung;Tiefbau
A;Bremen;Kommune;-;0421 / 361-2443;office@asv.bremen.de;28195;Amt für Straßen und Verkehr Bremen (ASV);Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung;Tiefbau
A;Bergisch Gladbach;Kommune;-;02202 / 14-0;info@stadt-gl.de;51429;Amt für Straßenbau und Erschließung Bergisch Gladbach;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung;Tiefbau
A;Kleinmachnow;Kommune;-;033203 / 877-100;bauamt@kleinmachnow.de;14532;Bauamt / Tiefbau Kleinmachnow;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung;Tiefbau
A;Montabaur;Kommune;-;02602 / 126-0;info@montabaur.de;56410;Bauhof der Stadt Montabaur;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung;Tiefbau
A;Straßen- und Grünflächenamt Charlottenburg-Wilmersdorf;Kommune;;030 9029-18000;SGA@charlottenburg-wilmersdorf.de;10589;Berlin-Charlottenburg-Wilmersdorf;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung;GaLaBau
A;Fachbereich Bau / Sachgebiet Tiefbau;Kommune;;03493 / 341-0;info@bitterfeld-wolfen.de;06749;Bitterfeld-Wolfen;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung;Tiefbau
A;Fachbereich Tiefbau;Kommune;;02871 / 953-0;info@mail.bocholt.de;46395;Bocholt;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung;Tiefbau
A;Fachbereich Stadtgruen (FB 67);Kommune;;0531 / 470-4910;stadtgruen@braunschweig.de;38102;Braunschweig;Frostschäden an Parkwegen und öffentlichen Flächen schnell beheben — ARM Kaltasphalt als Sofortlösung;Kommunale Grünflächenpflege, Wegebau, Flächeninstandsetzung;GaLaBau
A;Tiefbauamt;Kommune;;02541 / 939-0;info@coesfeld.de;48653;Coesfeld;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung;Tiefbau
A;Meschede;Kommune;-;0291 / 205-0;info@meschede.de;59872;Eigenbetrieb Straßen Meschede;Frostschäden auf Gemeindestraßen schnell beheben - Kaltasphalt ARM als Sofortlösung für Ihren Bauhof;Kommunaler Straßenunterhalt, Schlaglochbeseitigung;Tiefbau
